Regionaleinheit;Wahlberechtigte;ohne Wahlschein;mit Wahlschein;§18 Abs.2 LWO;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;GRÜNE;CDU;AfD;SPD;FDP;DIE LINKE;ÖDP;PIRATEN;Die PARTEI;FREIE WÄHLER;MENSCHLICHE WELT;Bündnis C;DKP;dieBasis;DiB;Eine für Alle - Partei;KlimalisteBW;Die Humanisten;Gesundheitsforschung;W2020;Volt;Einzelbewerber
08118070001-03 Stadt Steinheim an der Murr 001-04 Bahnhof 0811807000104;1201;754;447;0;407;0;4;403;117;86;58;45;51;13;3;;9;15;;;;3;0;;1;;;0;2;
08118070001-04 Stadt Steinheim an der Murr 002-02 Rathaus Steinheim 0811807000202;1035;668;367;0;263;2;1;262;80;41;49;36;25;13;0;;2;8;;;;5;0;;0;;;2;1;
08118070001-05 Stadt Steinheim an der Murr 002-03 Feuerwehrhaus Steinheim 0811807000203;1192;740;452;0;378;0;3;375;109;81;42;29;58;12;4;;10;11;;;;6;1;;3;;;5;4;
08118070001-06 Stadt Steinheim an der Murr 003-04 Grundschule Kleinbottwar 0811807000304;1205;761;444;0;395;0;4;391;116;94;57;50;35;9;0;;7;12;;;;7;0;;2;;;1;1;
08118070001-07 Stadt Steinheim an der Murr 004-05 Schlössle Höpfigheim 0811807000405;750;512;238;0;281;0;1;280;78;69;44;24;32;9;4;;7;7;;;;3;0;;1;;;0;2;
08118070001-08 Stadt Steinheim an der Murr 004-06 Melchior-Jäger-Halle (Foyer) 0811807000406;923;601;322;0;346;0;2;344;111;86;29;35;48;7;0;;5;11;;;;4;1;;2;;;3;2;
08118070900-01 Stadt Steinheim an der Murr 900-01 Briefwahl Steinheim Team 1 08118070900-01;;;;;1568;1568;8;1560;604;395;77;208;161;32;1;;13;48;;;;8;1;;4;;;0;8;
08118070900-02 Stadt Steinheim an der Murr 900-02 Briefwahl Steinheim Team 2 08118070900-02;;;;;1358;1358;8;1350;447;407;81;156;146;34;12;;10;29;;;;6;7;;4;;;4;7;
08118074001-01 Gemeinde Walheim 001-01 Gemeindehalle -Foyer- 0811807400101;1127;665;462;0;288;0;1;287;105;56;42;14;28;15;1;;6;9;;;;5;1;;0;;;3;2;
08118074001-02 Gemeinde Walheim 001-02 Gemeindehalle -Vereinsraum- 0811807400102;1256;754;502;0;369;0;4;365;124;84;42;33;35;15;3;;6;15;;;;3;0;;1;;;2;2;
08118074900-01 Gemeinde Walheim 001-03 Gemeindehalle -Briefwahl- 0811807400103;;;;;923;923;4;919;349;268;51;63;83;20;5;;20;34;;;;4;4;;10;;;3;5;
08118077001-01 Gemeinde Ingersheim 001-01 Großingersheim West 08118077001-01;807;512;295;0;293;1;2;291;96;67;37;30;28;8;0;;4;7;;;;7;2;;2;;;0;3;
08118077001-02 Gemeinde Ingersheim 001-02 Großingersheim Mitte 08118077001-02;1154;733;421;0;389;0;4;385;129;86;47;32;46;12;1;;7;12;;;;5;2;;1;;;1;4;
08118077001-03 Gemeinde Ingersheim 001-03 Großingersheim Süd 08118077001-03;768;527;241;0;259;0;2;257;81;65;30;29;39;4;1;;2;4;;;;0;0;;0;;;1;1;
08118077001-04 Gemeinde Ingersheim 001-04 Großingersheim Ost 08118077001-04;818;542;276;0;316;0;3;313;97;72;35;27;54;4;1;;0;15;;;;0;2;;2;;;4;0;
08118077001-05 Gemeinde Ingersheim 002-05 Kleiningersheim 08118077002-05;850;593;257;0;330;0;0;330;97;53;52;41;49;8;3;;2;13;;;;4;1;;1;;;4;2;
08118077900-01 Gemeinde Ingersheim 900-01 Briefwahl 1 08118077900-01;;;;;494;494;2;492;201;114;21;45;63;13;1;;5;10;;;;0;0;;9;;;7;3;
08118077900-02 Gemeinde Ingersheim 900-02 Briefwahl 2 08118077900-02;;;;;459;459;1;458;172;129;41;45;33;9;3;;2;7;;;;1;1;;5;;;6;4;
08118077900-03 Gemeinde Ingersheim 900-03 Briefwahl 3 08118077900-03;;;;;455;455;4;451;172;115;29;55;42;12;0;;8;10;;;;2;0;;3;;;2;1;
08118078001-01 Stadt Freiberg am Neckar 001-01 Flattichkindergarten 0811807800101;1680;878;802;0;422;0;1;421;109;91;56;55;57;13;2;;10;12;;;;7;2;;4;;;0;3;
08118078001-02 Stadt Freiberg am Neckar 001-02 Prisma 0811807800102;1669;965;704;0;405;0;1;404;116;70;65;65;45;22;0;;7;3;;;;5;0;;2;;;3;1;
08118078001-03 Stadt Freiberg am Neckar 002-05 Kasteneckschule 0811807800205;2107;1118;989;0;514;0;1;513;159;96;56;70;56;20;5;;11;13;;;;9;4;;9;;;2;3;
08118078001-04 Stadt Freiberg am Neckar 002-07 Kindergarten Murmel 0811807800207;2061;1131;930;0;513;0;6;507;165;89;59;62;71;18;2;;12;13;;;;8;2;;1;;;2;3;
08118078001-05 Stadt Freiberg am Neckar 003-11 Beethovenkindergarten 0811807800311;1913;1003;910;0;482;3;3;479;142;94;71;53;69;10;4;;7;14;;;;9;3;;0;;;0;3;
08118078001-06 Stadt Freiberg am Neckar 003-12 Zwergenstüble Ried 0811807800312;2101;1140;961;0;549;2;5;544;151;126;85;58;66;14;3;;13;13;;;;6;0;;2;;;4;3;
08118078900-01 Stadt Freiberg am Neckar 900-01 Briefwahlbezirk 0811807890001;;;;;5090;5090;15;5075;1923;1307;305;625;468;106;36;;59;144;;;;15;13;;28;;;14;32;
08118079001-01 Stadt Bietigheim-Bissingen Rathaus Bietigheim - Ratssaal 0811807901101;642;480;162;0;215;0;4;211;77;22;26;26;31;15;2;;5;4;;;;0;3;;0;;;0;0;
08118079001-02 Stadt Bietigheim-Bissingen Süddeutsche Gemeinschaft Bietigheim 0811807901102;916;592;324;0;280;0;2;278;103;51;29;31;31;8;1;;5;7;;;;1;2;;1;;;4;4;
08118079001-03 Stadt Bietigheim-Bissingen KiTa Paul-Bühler-Straße 0811807901103;1214;627;587;0;350;1;5;345;130;53;45;32;41;12;2;;10;12;;;;5;1;;0;;;1;1;
08118079001-04 Stadt Bietigheim-Bissingen KiTa Lugstraße 0811807901104;932;566;366;0;311;1;3;308;98;65;35;26;51;10;0;;5;13;;;;1;1;;2;;;1;0;
08118079001-05 Stadt Bietigheim-Bissingen Hillerschule 0811807901105;1123;654;469;0;342;0;0;342;125;59;52;21;36;12;0;;4;14;;;;5;5;;0;;;6;3;
08118079001-06 Stadt Bietigheim-Bissingen KiTa Vorderer Weingartweg 0811807901106;1003;629;374;0;365;0;1;364;127;69;39;30;58;12;0;;6;12;;;;2;2;;1;;;2;4;
08118079001-07 Stadt Bietigheim-Bissingen AOK - Die Gesundheitskasse 0811807901201;608;427;181;0;234;0;0;234;83;52;22;31;14;12;0;;2;9;;;;1;2;;2;;;1;3;
08118079001-08 Stadt Bietigheim-Bissingen Kreissparkasse 0811807901202;483;383;100;0;139;0;1;138;42;22;20;20;13;3;1;;1;7;;;;4;1;;0;;;1;3;
08118079001-09 Stadt Bietigheim-Bissingen Gemeindehaus St. Laurentius 0811807901203;717;462;255;0;214;1;2;212;72;53;20;22;20;5;1;;3;6;;;;6;0;;1;;;2;1;
08118079001-10 Stadt Bietigheim-Bissingen Schule im Sand 0811807901204;843;591;252;0;361;0;0;361;132;73;37;59;40;2;0;;3;4;;;;2;3;;0;;;2;4;
08118079001-11 Stadt Bietigheim-Bissingen Siedlerheim im Sand 0811807901205;975;685;290;0;410;2;3;407;130;69;50;39;75;11;2;;6;7;;;;7;0;;2;;;3;6;
08118079001-12 Stadt Bietigheim-Bissingen KiTa Fliederweg I 0811807901301;651;597;54;0;196;0;6;190;39;56;30;24;23;10;0;;1;2;;;;0;2;;0;;;1;2;
08118079001-13 Stadt Bietigheim-Bissingen Jobcenter 0811807901302;699;552;147;0;223;0;0;223;47;44;49;21;27;16;1;;4;7;;;;4;1;;1;;;1;0;
08118079001-14 Stadt Bietigheim-Bissingen KiTa Fliederweg II 0811807901303;483;372;111;0;167;0;1;166;34;37;25;20;21;9;0;;6;4;;;;5;0;;2;;;3;0;
08118079001-15 Stadt Bietigheim-Bissingen KiTa Breslauer Straße 0811807901304;581;438;143;0;223;0;1;222;67;54;29;29;14;10;1;;3;7;;;;2;1;;1;;;3;1;
08118079001-16 Stadt Bietigheim-Bissingen Schule im Buch 0811807901305;839;567;272;0;289;2;0;289;90;69;28;34;46;7;0;;4;2;;;;2;0;;3;;;4;0;
08118079001-17 Stadt Bietigheim-Bissingen KiTa Allensteiner Straße 0811807901306;643;475;168;0;263;1;3;260;65;56;36;41;33;8;0;;3;4;;;;7;0;;1;;;6;0;
08118079001-18 Stadt Bietigheim-Bissingen Gustav-Schönleber-Schule 0811807901307;596;397;199;0;214;0;2;212;80;42;14;26;26;6;0;;2;6;;;;1;1;;1;;;7;0;
08118079001-19 Stadt Bietigheim-Bissingen Bietigheimer Wohnbau 0811807901308;606;404;202;0;233;1;2;231;61;58;34;18;39;4;0;;2;6;;;;4;2;;0;;;2;1;
08118079001-20 Stadt Bietigheim-Bissingen Kinderhaus Buch 0811807901309;714;599;115;0;186;0;2;184;37;37;43;23;19;12;1;;1;6;;;;1;0;;1;;;1;2;
08118079001-21 Stadt Bietigheim-Bissingen Ev. Gemeindezentrum Pauluskirche 0811807901310;757;642;115;0;225;0;2;223;39;62;42;33;21;13;0;;2;5;;;;0;1;;0;;;3;2;
08118079001-22 Stadt Bietigheim-Bissingen Kinderhaus Mikado 0811807901401;1103;872;231;0;367;3;1;366;107;72;81;23;27;17;3;;10;4;;;;9;1;;4;;;2;6;
08118079001-23 Stadt Bietigheim-Bissingen Berufsschulzentrum 0811807901402;529;370;159;0;187;2;0;187;56;38;22;19;29;9;0;;2;4;;;;0;1;;0;;;7;0;
08118079001-24 Stadt Bietigheim-Bissingen KiTa Kammgarnspinnerei 0811807901601;195;170;25;0;91;0;1;90;21;18;15;7;14;4;1;;4;5;;;;0;0;;1;;;0;0;
08118079001-25 Stadt Bietigheim-Bissingen KiTa Metterzimmern 0811807902101;554;371;183;0;189;1;3;186;62;36;22;27;24;1;0;;5;4;;;;2;1;;1;;;1;0;
08118079001-26 Stadt Bietigheim-Bissingen Schule Metterzimmern 0811807902102;666;423;243;0;236;0;2;234;78;43;21;26;32;6;1;;7;8;;;;5;1;;1;;;2;3;
08118079001-27 Stadt Bietigheim-Bissingen Ludwig-Heyd-Schule 0811807903101;772;515;257;0;275;0;1;274;98;40;35;51;13;10;2;;8;11;;;;3;1;;0;;;1;1;
08118079001-28 Stadt Bietigheim-Bissingen KiTa Schillerstraße 0811807903102;933;704;229;0;322;0;0;322;87;76;51;21;32;14;3;;7;12;;;;3;2;;3;;;8;3;
08118079001-29 Stadt Bietigheim-Bissingen KiTa Südstraße 0811807903103;760;564;196;0;249;0;4;245;77;49;32;21;33;5;2;;7;8;;;;0;2;;0;;;5;4;
08118079001-30 Stadt Bietigheim-Bissingen Rathaus Bissingen 0811807903109;1095;757;338;0;403;0;1;402;141;77;46;34;39;18;3;;8;6;;;;11;2;;6;;;5;6;
08118079001-31 Stadt Bietigheim-Bissingen KiTa Entenäcker 0811807903110;1005;666;339;0;386;0;2;384;126;76;40;35;52;15;0;;7;13;;;;5;3;;5;;;1;6;
08118079001-32 Stadt Bietigheim-Bissingen KiTa im Leintal 0811807903203;826;586;240;0;257;3;2;255;79;59;37;22;23;3;1;;7;10;;;;1;0;;1;;;3;9;
08118079001-33 Stadt Bietigheim-Bissingen Kath. Gemeindezentrum 0811807903208;634;495;139;0;220;0;3;217;49;56;32;22;30;7;2;;6;5;;;;3;1;;0;;;3;1;
08118079001-34 Stadt Bietigheim-Bissingen Waldschule 0811807903304;723;490;233;0;276;0;1;275;88;65;15;38;36;15;0;;2;11;;;;2;2;;1;;;0;0;
08118079001-35 Stadt Bietigheim-Bissingen Ev. Kindergarten 0811807903305;1171;774;397;0;377;0;0;377;108;89;51;32;42;23;1;;7;13;;;;1;1;;3;;;5;1;
08118079001-36 Stadt Bietigheim-Bissingen KiTa Brunnenstraße 0811807903307;690;523;167;0;269;2;4;265;77;72;24;34;35;6;1;;3;9;;;;1;0;;0;;;1;2;
08118079001-37 Stadt Bietigheim-Bissingen Kinderhaus Untermberg 0811807904106;800;540;260;0;275;1;1;274;85;42;43;29;35;15;0;;4;12;;;;2;0;;1;;;2;4;
08118079900-01 Stadt Bietigheim-Bissingen Briefwahl I 08118079900-01;;;;;837;837;2;835;325;218;33;104;81;21;6;;7;20;;;;2;2;;4;;;5;7;
08118079900-02 Stadt Bietigheim-Bissingen Briefwahl II 08118079900-02;;;;;895;895;3;892;370;194;36;80;84;26;8;;18;27;;;;11;9;;12;;;6;11;
08118079900-03 Stadt Bietigheim-Bissingen Briefwahl III 08118079900-03;;;;;1158;1158;0;1158;471;292;45;112;141;24;7;;19;20;;;;8;6;;5;;;4;4;
08118079900-04 Stadt Bietigheim-Bissingen Briefwahl IV 08118079900-04;;;;;835;835;4;831;323;244;33;101;74;15;0;;5;17;;;;4;4;;7;;;0;4;
08118079900-05 Stadt Bietigheim-Bissingen Briefwahl V 08118079900-05;;;;;843;843;2;841;329;218;53;96;78;19;4;;4;14;;;;3;5;;6;;;3;9;
08118079900-06 Stadt Bietigheim-Bissingen Briefwahl VI 08118079900-06;;;;;886;886;3;883;375;223;41;93;68;23;6;;9;20;;;;4;6;;8;;;1;6;
08118079900-07 Stadt Bietigheim-Bissingen Briefwahl VII 08118079900-07;;;;;836;836;0;836;297;220;39;82;108;22;7;;13;20;;;;10;3;;4;;;7;4;
08118079900-08 Stadt Bietigheim-Bissingen Briefwahl VIII 08118079900-08;;;;;910;910;2;908;375;229;39;86;84;30;4;;8;23;;;;4;7;;5;;;9;5;
08118079900-09 Stadt Bietigheim-Bissingen Briefwahl IX 08118079900-09;;;;;878;878;0;878;335;214;39;87;85;35;10;;14;17;;;;5;11;;9;;;6;11;
08119020001-01 Stadt Fellbach 001-15 Ehemalige Volkshochschule 08119020001-15;640;434;206;0;205;4;0;205;52;41;26;35;25;11;0;;4;5;;;;0;;;2;;;1;;3
08119020001-02 Stadt Fellbach 001-18 Ehemalige Volkshochschule 08119020001-18;665;437;228;0;249;3;3;246;93;46;19;34;20;13;0;;3;12;;;;1;;;5;;;0;;0
08119020001-03 Stadt Fellbach 001-19 Stadtwerke Fellbach 08119020001-19;811;568;243;0;266;1;2;264;76;44;29;42;38;15;2;;2;13;;;;0;;;1;;;1;;1
08119020001-04 Stadt Fellbach 002-16 Friedrich-Schiller-Gymnasium 08119020002-16;670;475;195;0;186;0;2;184;47;36;22;28;19;8;1;;4;13;;;;2;;;0;;;4;;0
08119020001-05 Stadt Fellbach 002-17 Friedrich-Schiller-Gymnasium 08119020002-17;466;333;133;0;146;2;2;144;30;37;14;23;4;4;0;;0;22;;;;0;;;4;;;5;;1
08119020001-06 Stadt Fellbach 002-20 Stadtwerke Fellbach 08119020002-20;830;539;291;0;251;2;0;251;72;51;32;31;37;11;1;;5;7;;;;2;;;2;;;0;;0
08119020001-07 Stadt Fellbach 003-21 Johannes-Brenz-Gemeindezentrum 08119020003-21;755;501;254;0;314;5;5;309;76;67;40;24;39;23;0;;5;18;;;;8;;;3;;;6;;0
08119020001-08 Stadt Fellbach 004-01 Melanchthon-Gemeindehaus 08119020004-01;740;480;260;0;225;1;7;218;56;50;20;29;35;5;3;;8;8;;;;0;;;2;;;2;;0
08119020001-09 Stadt Fellbach 004-02 Neue Kelter 08119020004-02;773;467;306;0;288;2;0;288;80;73;23;24;46;14;3;;6;13;;;;3;;;2;;;1;;0
08119020001-10 Stadt Fellbach 004-06 Kindergarten Neue Straße 08119020004-06;744;479;265;0;257;0;2;255;70;55;27;39;29;6;0;;4;19;;;;2;;;1;;;3;;0
08119020001-11 Stadt Fellbach 004-07 Weimer-Kindergarten 08119020004-07;644;450;194;0;246;0;2;244;70;37;19;31;22;15;2;;5;25;;;;6;;;4;;;2;;6
08119020001-12 Stadt Fellbach 004-08 Schultheiß-Brändle-Kindergarten 08119020004-08;681;526;155;0;235;0;2;233;63;61;22;26;29;5;0;;5;11;;;;3;;;2;;;4;;2
08119020001-13 Stadt Fellbach 004-09 Sporthalle Silcherschule 08119020004-09;707;501;206;0;281;0;1;280;71;57;27;50;42;10;2;;2;6;;;;2;;;6;;;4;;1
08119020001-14 Stadt Fellbach 004-10 Rathaus Fellbach 08119020004-10;901;533;368;0;257;0;1;256;78;51;27;35;37;7;1;;3;10;;;;3;;;0;;;4;;0
08119020001-15 Stadt Fellbach 004-14 Treffpunkt Mozartstraße 08119020004-14;691;446;245;0;208;1;1;207;53;45;13;29;32;14;1;;4;8;;;;5;;;1;;;1;;1
08119020001-16 Stadt Fellbach 005-03 Oberlin-Kindergarten 08119020005-03;955;628;327;0;289;2;2;287;76;64;23;32;53;6;4;;4;14;;;;7;;;3;;;1;;0
08119020001-17 Stadt Fellbach 005-04 Emil-Bitzer-Kindergarten 08119020005-04;875;597;278;0;320;1;2;318;85;82;29;42;31;12;4;;9;17;;;;2;;;0;;;4;;1
08119020001-18 Stadt Fellbach 005-05 Stadtbücherei Fellbach 08119020005-05;857;555;302;0;272;1;3;269;73;60;25;33;38;13;2;;4;14;;;;2;;;2;;;3;;0
08119020001-19 Stadt Fellbach 005-11 Paul-Gerhardt-Haus 08119020005-11;767;505;262;0;264;2;3;261;79;52;20;36;35;12;1;;6;12;;;;3;;;1;;;2;;2
08119020001-20 Stadt Fellbach 005-12 Zeppelinschule 08119020005-12;795;561;234;0;272;1;2;270;74;68;31;32;37;4;1;;4;13;;;;1;;;0;;;5;;0
08119020001-21 Stadt Fellbach 005-13 Treffpunkt Mozartstraße 08119020005-13;808;507;301;0;267;0;1;266;79;54;23;32;45;11;0;;4;8;;;;2;;;2;;;5;;1
08119020001-22 Stadt Fellbach 606-01 Gustav-Stresemann-Gymnasium 08119020606-01;829;465;364;0;230;0;2;228;62;38;20;31;37;7;1;;2;24;;;;3;;;2;;;1;;0
08119020001-23 Stadt Fellbach 606-02 Rathaus Schmiden 08119020606-02;904;554;350;0;272;2;5;267;72;73;34;22;31;6;2;;1;21;;;;4;;;0;;;1;;0
08119020001-24 Stadt Fellbach 606-03 Albert-Schweitzer-Schule 08119020606-03;994;646;348;0;392;4;2;390;95;98;39;49;61;5;2;;4;30;;;;1;;;0;;;6;;0
08119020001-25 Stadt Fellbach 606-04 Fröbelschule 08119020606-04;1086;734;352;0;420;6;1;419;147;76;42;61;51;13;2;;3;21;;;;1;;;1;;;1;;0
08119020001-26 Stadt Fellbach 606-05 Anne-Frank-Schule 08119020606-05;766;500;266;0;261;1;4;257;85;51;15;34;22;8;2;;10;15;;;;7;;;2;;;4;;2
08119020001-27 Stadt Fellbach 606-06 Anne-Frank-Schule 08119020606-06;833;589;244;0;289;2;3;286;74;55;45;35;29;21;0;;4;13;;;;4;;;4;;;2;;0
08119020001-28 Stadt Fellbach 606-07 Kindergarten Postweg 08119020606-07;999;675;324;0;315;3;5;310;76;72;46;32;43;15;0;;3;17;;;;2;;;1;;;3;;0
08119020001-29 Stadt Fellbach 606-08 Spatzennest Elternkolleg e. V. 08119020606-08;820;544;276;0;260;4;2;258;68;60;37;31;24;9;0;;6;16;;;;2;;;1;;;2;;2
08119020001-30 Stadt Fellbach 606-09 Wiesenäcker-Kindergarten 08119020606-09;856;597;259;0;300;3;1;299;71;51;39;52;36;8;3;;1;26;;;;3;;;3;;;4;;2
08119020001-31 Stadt Fellbach 707-01 Schlössle 08119020707-01;810;496;314;0;275;2;4;271;71;64;21;14;34;8;1;;6;43;;;;4;;;2;;;3;;0
08119020001-32 Stadt Fellbach 707-02 Schillerschule 08119020707-02;906;514;392;0;333;7;1;332;96;72;24;34;43;8;2;;2;44;;;;0;;;5;;;1;;1
08119020001-33 Stadt Fellbach 707-03 Turn- und Festhalle Oeffingen 08119020707-03;815;467;348;0;207;1;2;205;57;53;14;16;25;10;1;;1;25;;;;1;;;0;;;1;;1
08119020001-34 Stadt Fellbach 707-04 Turn- und Festhalle Oeffingen 08119020707-04;733;404;329;0;193;0;0;193;51;41;18;28;18;4;1;;3;24;;;;0;;;2;;;3;;0
08119020001-35 Stadt Fellbach 707-05 Katholisches Gemeindezentrum 08119020707-05;874;510;364;0;274;4;0;274;80;49;24;34;39;7;5;;2;27;;;;6;;;0;;;1;;0
08119020001-36 Stadt Fellbach 707-06 St.-Georg-Kindergarten 08119020707-06;716;449;267;0;275;2;1;274;87;65;21;30;28;5;4;;3;22;;;;5;;;0;;;2;;2
08119020900-01 Stadt Fellbach 900-01 Briefwahl 08119020900-01;;;;;1060;1060;3;1057;392;221;39;140;136;24;7;;19;54;;;;5;;;13;;;6;;1
08119020900-02 Stadt Fellbach 900-02 Briefwahl 08119020900-02;;;;;1227;1227;7;1220;383;383;42;112;150;25;6;;9;89;;;;1;;;10;;;5;;5
08119020900-03 Stadt Fellbach 900-03 Briefwahl 08119020900-03;;;;;1098;1098;2;1096;370;296;49;128;127;37;6;;7;57;;;;6;;;8;;;1;;4
08119020900-04 Stadt Fellbach 900-04 Briefwahl 08119020900-04;;;;;1098;1098;7;1091;341;311;33;148;120;25;5;;14;75;;;;3;;;6;;;4;;6
08119020900-05 Stadt Fellbach 900-05 Briefwahl 08119020900-05;;;;;1234;1234;1;1233;407;293;42;144;174;20;10;;17;104;;;;3;;;10;;;4;;5
08119020900-06 Stadt Fellbach 900-06 Briefwahl 08119020900-06;;;;;1105;1105;0;1105;408;237;51;132;104;31;14;;13;95;;;;4;;;8;;;3;;5
08119020900-07 Stadt Fellbach 900-07 Briefwahl 08119020900-07;;;;;1372;1372;3;1369;439;362;61;163;131;29;9;;7;150;;;;2;;;5;;;6;;5
08119020900-08 Stadt Fellbach 900-08 Briefwahl 08119020900-08;;;;;1271;1271;5;1266;414;329;49;113;104;28;7;;12;185;;;;4;;;8;;;4;;9
08119041001-01 Gemeinde Korb 001-01 Fröbelkindergarten 08119041001-01;1135;595;540;0;346;0;3;343;81;93;39;29;58;10;0;;4;13;;;;7;;;5;;;1;;3
08119041001-02 Gemeinde Korb 001-02 Alte Kelter 08119041001-02;1100;752;348;0;338;2;3;335;89;80;29;51;41;13;3;;3;16;;;;3;;;1;;;2;;4
08119041001-03 Gemeinde Korb 001-03 Kindergarten Schaltenberg 08119041001-03;930;551;379;0;300;0;2;298;72;89;35;32;51;6;1;;1;7;;;;1;;;1;;;0;;2
08119041001-04 Gemeinde Korb 001-04 Katholisches Gemeindehaus 08119041001-04;943;684;259;0;307;2;4;303;94;68;36;36;34;12;3;;3;7;;;;4;;;2;;;4;;0
08119041001-05 Gemeinde Korb 001-05 GMS Korb, Schulstandort Urbanstraße 08119041001-05;1033;648;385;0;293;0;4;289;76;73;35;29;33;14;1;;2;16;;;;4;;;4;;;1;;1
08119041001-06 Gemeinde Korb 001-07 Feuerwehrgerätehaus Korb 08119041001-07;1166;731;435;0;363;0;4;359;59;101;47;38;64;10;0;;8;23;;;;5;;;1;;;3;;0
08119041001-07 Gemeinde Korb 002-06 Mehrzweckhalle Kleinheppach 08119041002-06;1270;758;512;0;441;2;8;433;111;116;42;32;71;8;0;;6;24;;;;15;;;0;;;5;;3
08119041900-01 Gemeinde Korb 900-01 Briefwahl 1 Ballspielhalle 08119041900-01;;;;;885;885;3;882;290;250;32;82;143;15;6;;2;32;;;;12;;;7;;;4;;7
08119041900-02 Gemeinde Korb 900-02 Briefwahl 2 Ballspielhalle 08119041900-02;;;;;944;944;2;942;281;285;58;93;127;25;3;;9;31;;;;6;;;4;;;6;;14
08119041900-03 Gemeinde Korb 900-03 Briefwahl 3 Ballspielhalle 08119041900-03;;;;;883;883;3;880;253;294;50;55;138;13;3;;9;45;;;;6;;;7;;;3;;4
08119042001-01 Gemeinde Leutenbach 001-01 Rathaus Leutenbach 08119042001-01;1311;835;476;0;375;2;2;373;87;95;43;56;49;13;2;;5;11;;;;5;;;3;;;3;;1
08119042001-02 Gemeinde Leutenbach 001-02 Sporthalle Ob den Gärten I 08119042001-02;1238;828;410;0;426;0;6;420;101;103;61;55;46;18;2;;6;21;;;;1;;;1;;;4;;1
08119042001-03 Gemeinde Leutenbach 001-03 Sporthalle Ob den Gärten II 08119042001-03;1009;634;375;0;319;1;1;318;83;79;36;27;50;8;1;;9;11;;;;2;;;7;;;5;;0
08119042001-04 Gemeinde Leutenbach 002-01 Begegnungsstätte Nellmersbach 08119042002-01;1076;736;340;0;404;1;2;402;126;85;58;42;39;12;1;;4;20;;;;6;;;2;;;5;;2
08119042001-05 Gemeinde Leutenbach 002-02 Mehrzweckhalle Nellmersbach 08119042002-02;1190;805;385;0;431;2;2;429;147;97;43;42;52;11;5;;6;12;;;;7;;;2;;;5;;0
08119042001-06 Gemeinde Leutenbach 003-01 Gemeindehalle Weiler zum Stein 08119042003-01;1108;742;366;0;325;0;3;322;85;66;41;44;31;15;6;;4;15;;;;3;;;3;;;8;;1
08119042001-07 Gemeinde Leutenbach 003-02 Kindergarten Hummerholz 08119042003-02;1331;827;504;0;489;4;4;485;104;119;68;52;75;12;2;;6;33;;;;6;;;1;;;7;;0
08119042900-01 Gemeinde Leutenbach 900-01 Briefwahl Leutenbach 08119042900-01;;;;;1212;1212;2;1210;412;327;63;139;155;30;7;;14;34;;;;7;;;3;;;9;;10
08119042900-02 Gemeinde Leutenbach 900-02 Briefwahl Nellmersbach 08119042900-02;;;;;688;688;0;688;235;201;40;65;65;27;3;;7;29;;;;2;;;1;;;9;;4
08119042900-03 Gemeinde Leutenbach 900-03 Briefwahl Weiler zum Stein 08119042900-03;;;;;823;823;2;821;253;236;60;91;93;27;4;;6;34;;;;3;;;6;;;4;;4
08119068001-01 Gemeinde Schwaikheim 001-01 Wahlbezirk I 08119068001-01;2259;1523;736;0;769;0;14;755;217;164;95;73;96;24;6;;19;33;;;;13;;;5;;;7;;3
08119068001-02 Gemeinde Schwaikheim 001-02 Wahlbezirk II 08119068001-02;1559;992;567;0;533;1;6;527;200;109;46;54;81;14;3;;5;9;;;;2;;;3;;;0;;1
08119068001-03 Gemeinde Schwaikheim 001-03 Wahlbezirk III 08119068001-03;1682;1080;602;0;553;2;6;547;180;114;61;66;65;24;2;;11;11;;;;3;;;8;;;1;;1
08119068001-04 Gemeinde Schwaikheim 001-04 Wahlbezirk IV 08119068001-04;945;569;376;0;330;0;4;326;98;85;28;38;51;8;0;;6;6;;;;2;;;1;;;2;;1
08119068900-01 Gemeinde Schwaikheim 900-01 Briefwahl 1 08119068900-01;;;;;1108;1108;1;1107;405;287;42;136;129;15;8;;22;35;;;;4;;;16;;;2;;6
08119068900-02 Gemeinde Schwaikheim 900-02 Briefwahl 2 08119068900-02;;;;;1081;1081;5;1076;405;289;55;96;134;24;10;;11;27;;;;7;;;10;;;3;;5
08119079001-01 Große Kreisstadt Waiblingen 001-01 Stadtbücherei 08119079001-01;1240;785;455;0;394;2;5;389;121;76;35;45;45;26;6;;9;8;;;;3;;;7;;;3;;5
08119079001-02 Große Kreisstadt Waiblingen 001-03 Bürgerzentrum 08119079001-03;1349;734;615;0;345;1;4;341;81;83;50;37;58;9;2;;2;6;;;;3;;;2;;;4;;4
08119079001-03 Große Kreisstadt Waiblingen 001-05 Wolfgang-Zacher-Schule 08119079001-05;1103;741;362;0;432;3;1;431;114;70;44;61;71;6;3;;10;18;;;;14;;;4;;;4;;12
08119079001-04 Große Kreisstadt Waiblingen 001-08 Kinderhaus Mitte 08119079001-08;998;614;384;0;303;1;4;299;92;56;25;24;46;11;5;;6;12;;;;6;;;1;;;0;;15
08119079001-05 Große Kreisstadt Waiblingen 001-10 Evangelischer Kindergarten Bärenland 08119079001-10;1132;779;353;0;298;0;4;294;83;58;31;23;48;22;1;;6;6;;;;4;;;4;;;5;;3
